No,Address,City,State,Zip,TimeZone,County,Address Name,
1,1860 The Alameda,San Jose,CA,95126,PST,USA,Hotel Rose Garden,
2,2175 Rosaline Ave,Redding,CA,96001,PST,USA,Mercy Medical Center Redding,
3,800 S Abilene St,Aurora,CO,80012,MST,USA,Best Western Plus Gateway Inn & Suites,
4,824 W Boulevard St,Lewistown,MT,59457,MST,USA,Sitting Room,
5,300 SW 5th St,Des Moines,IA,50309,CST,USA,St. Kilda Cafe & Bakery,
6,15115 W 119th St,Olathe,KS,66062,CST,USA,Minit Mart,
7,117 Sandusky St,Pittsburgh,PA,15212,EST,USA,The Andy Warhol Museum,
8,4900 Old Seward Hwy,Anchorage,AK,99503,ALK,USA,Continental Subaru - SALES DEPARTMENT,
9,1309 5th St NE,Washington,DC,20002,EST,US,Union Market,
10,1300 Constitution Ave NW,Washington,DC,20004,EST,US,Smithsonian National Museum of American History,
11,1266 San Carlos Ave,Concord,CA,94518,PST,US,Loma Vista Adult Center,
12,3036 Concord Blvd,Concord,CA,94519,PST,US,3036 Concord Blvd,
13,2701 Willow Pass Rd,Concord,CA,94519,PST,US,Crossroads High School,
14,2222 Pacheco St,Concord,CA,94520,PST,US,The Heritage,
15,2600 Willow Pass Rd,Concord,CA,94519,PST,US,Safeway,
16,6190 E Quincy Ave,Englewood,CO,80111,MST,USA,Saint Gabriel the Archangel Episcopal Church,
17,6315 S University Blvd,Centennial,CO,80121,MST,USA,Goodson Recreation Center,
18,395 Federal St,Pittsburgh,PA,15212,EST,USA,United States Postal Service,
19,318-320 Cedar Ave,Pittsburgh,PA,15212,EST,USA,Giant Eagle Supermarket,
20,3131 Chartiers Ave,Pittsburgh,PA,15204,EST,USA,Avenue A Salon,
21,338 SW 6th St,Des Moines,IA,50309,CST,USA,Escape Chambers Des Moines,
22,529 SW 5th St,Des Moines,IA,50309,CST,USA,Kiwanis Miracle League,
23,2300 Grand Ave,Des Moines,IA,50312,CST,USA,Terrace Hill Historic Site,
24,3410 S Kingshighway Blvd,St. Louis,MO,63139,CST,USA,Zips Car Wash,
25,200 W Elm St,Carbondale,IL,62901,CST,USA,Home2 Suites by Hilton Carbondale,
26,2090 The Alameda,San Jose,CA,95126,PST,USA,Shell Gas,
27,499 Haight St,San Francisco,CA,94117,PST,USA,CVS Pharmacy,
28,2275 Pine St,Redding,CA,96001,PST,USA,Safeway Pharmacy
